6,6,11,14,16,13,6,12,9,7
8,19,15,1,19,10,9,6,4,9
16,4,9,18,11,7,12,3,9,11
3,16,9,12,8,7,11,16,10,8
6,12,11,2,6,6,8,12,25,12
7,2,2,23,8,9,18,11,15,5
9,9,14,11,7,4,11,9,12,14
3,8,8,6,21,6,7,12,16,13
4,13,7,14,8,24,8,11,7,4
14,23,18,5,11,2,2,14,6,5
